"water_year","oni_djf","enso_phase","enso_strength","el_nino","la_nina","oni_djf_lag1","time_trend","precip_in","soi_ndjfm","rsoi","phase"
2008,-1.6,"La Niña","strong",0,1,0.7,58,17.85,1.39,-1.39,"La Niña"
2009,-0.8,"La Niña","weak",0,1,-1.6,59,17.05,1.02,-1.02,"La Niña"
2010,1.5,"El Niño","strong",1,0,-0.8,60,31.18,-1.15,1.15,"El Niño"
2011,-1.3,"La Niña","moderate",0,1,1.5,61,18.79,2.15,-2.15,"La Niña"
2012,-0.7,"La Niña","weak",0,1,-1.3,62,23.45,1.04,-1.04,"La Niña"
2013,-0.3,"Neutral","neutral",0,0,-0.7,63,7.93,0.01,-0.01,"Neutral"
2014,-0.3,"Neutral","neutral",0,0,-0.3,64,19.9,-0.03,0.03,"Neutral"
2015,0.7,"El Niño","weak",1,0,-0.3,65,15.04,-0.79,0.79,"El Niño"
2016,2.6,"El Niño","very_strong",1,0,0.7,66,25.73,-1.32,1.32,"El Niño"
2017,-0.2,"Neutral","neutral",0,0,2.6,67,28.17,0.02,-0.02,"Neutral"
2018,-0.8,"La Niña","weak",0,1,-0.2,68,18.09,0.38,-0.38,"Neutral"
2019,0.9,"El Niño","weak",1,0,-0.8,69,29.12,-0.33,0.33,"Neutral"
2020,0.6,"El Niño","weak",1,0,0.9,70,12.07,-0.56,0.56,"El Niño"
2021,-0.9,"La Niña","weak",0,1,0.6,71,18.93,1.01,-1.01,"La Niña"
2022,-0.8,"La Niña","weak",0,1,-0.9,72,14.1,1,-1,"La Niña"
2023,-0.5,"La Niña","weak",0,1,-0.8,73,27.38,0.82,-0.82,"La Niña"
2024,1.9,"El Niño","strong",1,0,-0.5,74,26.09,-0.53,0.53,"El Niño"
2025,-0.4,"Neutral","neutral",0,0,1.9,75,23.29,0.71,-0.71,"La Niña"
