id,lat,lon,element,first_year,last_year,state,name,elev
USC00049325,34.5253,-117.2964,PRCP,1917,2026,CA,VICTORVILLE,850.1
USC00049367,36.3283,-119.2997,PRCP,1895,2026,CA,VISALIA,92.4
USC00049378,33.2353,-117.2322,PRCP,1957,2026,CA,VISTA,131.1
USC00049390,40.4583,-121.8664,PRCP,1926,2026,CA,VOLTA PH,676.7
USC00049452,35.5892,-119.3519,PRCP,1901,2026,CA,WASCO,88.7
USC00049473,36.9308,-121.7692,PRCP,1908,2026,CA,WATSONVILLE WTR WKS,29
USC00049582,38.3775,-120.5453,PRCP,1894,2026,CA,W PT,845.8
USC00049621,40.6117,-122.5281,PRCP,1960,2026,CA,WHISKEYTOWN RSVR,394.7
USC00049699,39.5231,-122.3047,PRCP,1906,2026,CA,WILLOWS 6 W,71.3
USC00049742,38.5253,-121.9778,PRCP,1906,2026,CA,WINTERS,41.1
USC00049781,38.6828,-121.7939,PRCP,1906,2024,CA,WOODLAND 1 WNW,20.4
USC00049785,34.1819,-118.5744,PRCP,1949,2026,CA,WOODLAND HILLS PIERCE COLLEGE,240.8
USC00049855,37.7503,-119.5897,PRCP,1906,2026,CA,YOSEMITE PARK HQ,1224.7
USC00049866,41.7025,-122.6417,PRCP,1893,2026,CA,YREKA,826.6
USS0019L03S,38.85,-119.94,PRCP,1978,2026,CA,Hagan's Meadow,2370.1
USS0019L05S,38.61,-119.92,PRCP,1980,2026,CA,Blue Lakes,2455.8
USS0019L06S,38.51,-119.63,PRCP,1980,2026,CA,Poison Flat,2357.9
USS0019L07S,38.31,-119.6,PRCP,1978,2026,CA,Sonora Pass,2690.5
USS0019L08S,38.3,-119.55,PRCP,1980,2026,CA,Leavitt Meadows,2194
USS0019L13S,38.07,-119.23,PRCP,1978,2026,CA,Virginia Lakes Ridge,2878.8
USS0019L17S,38.44,-119.37,PRCP,1978,2026,CA,Lobdell Lake,2814.2
USS0019L19S,38.55,-119.8,PRCP,1978,2026,CA,Ebbetts Pass,2671.6
USS0019L24S,38.92,-119.92,PRCP,1978,2026,CA,Heavenly Valley,2615.8
USS0019L39S,38.67,-119.82,PRCP,1980,2026,CA,Spratt Creek,1863.9
USS0020H06S,41.58,-120.3,PRCP,1978,2026,CA,Cedar Pass,2142.7
USS0020H12S,41.99,-120.18,PRCP,1980,2026,CA,Dismal Swamp,2243.3
USS0020K03S,39.49,-120.28,PRCP,1980,2026,CA,Independence Creek,1967.8
USS0020K04S,39.45,-120.29,PRCP,1978,2026,CA,Independence Camp,2134.5
USS0020K05S,39.43,-120.31,PRCP,1978,2024,CA,Independence Lake,2545.7
USS0020K13S,39.3,-120.18,PRCP,1980,2026,CA,Truckee #2,1983.9
USS0020K25S,39.14,-120.22,PRCP,1979,2026,CA,Ward Creek #3,2028.4
USS0020K27S,39.17,-120.15,PRCP,1980,2026,CA,Tahoe City Cross,2071.7
USS0020K30S,39.19,-120.26,PRCP,1980,2026,CA,Squaw Valley G.C.,2447.2
USS0020L02S,39,-120.13,PRCP,1980,2026,CA,Rubicon #2,2343.6
USS0020L06S,38.85,-120.08,PRCP,1980,2026,CA,Echo Peak,2337.8
USS0020L10S,38.93,-120.05,PRCP,1979,2026,CA,Fallen Leaf,1900.7
USW00003104,33.6317,-116.1642,PRCP,1950,2026,CA,DESERT RESORTS RGNL AP,-36
USW00003122,33.8017,-118.3411,PRCP,1932,2026,CA,TORRANCE AP,27.4
USW00003144,32.8347,-115.5767,PRCP,1962,2026,CA,IMPERIAL CO AP,-16.8
USW00003159,34.7411,-118.2125,PRCP,1974,2026,CA,LANCASTER,712.6
USW00023110,36.3333,-119.95,PRCP,1961,2026,CA,LEMOORE REEVES NAS,70.7
USW00023119,33.9,-117.25,PRCP,1949,2026,CA,MARCH AFB,468.2
USW00023129,33.8117,-118.1472,PRCP,1949,2026,CA,LONG BEACH DAUGHERTY AP,10.4
USW00023130,34.2122,-118.4914,PRCP,1949,2026,CA,VAN NUYS AP,239.3
USW00023136,34.2114,-119.0875,PRCP,1952,2026,CA,CAMARILLO AP,21.6
USW00023155,35.4342,-119.0553,PRCP,1937,2026,CA,BAKERSFIELD AP,149.4
USW00023157,37.3711,-118.3589,PRCP,1895,2026,CA,BISHOP AP,1252.7
USW00023158,33.6189,-114.7144,PRCP,1948,2026,CA,BLYTHE ASOS,120.4
USW00023161,34.8536,-116.7869,PRCP,1943,2026,CA,BARSTOW-DAGGETT AP,584.9
USW00023174,33.9381,-118.3867,PRCP,1944,2026,CA,LOS ANGELES INTL AP,29.6
USW00023179,34.7678,-114.6183,PRCP,1940,2026,CA,NEEDLES AP,270.7
USW00023182,34.6294,-118.0831,PRCP,1948,2026,CA,PALMDALE AP,764.7
USW00023187,34.7436,-118.7253,PRCP,1934,2026,CA,SANDBERG,1374.6
USW00023188,32.7336,-117.1831,PRCP,1939,2026,CA,SAN DIEGO INTL AP,4.6
USW00023190,34.4242,-119.8425,PRCP,1941,2026,CA,SANTA BARBARA MUNI AP,2.4
USW00023191,33.4042,-118.4144,PRCP,1948,2026,CA,AVALON CATALINA AP,477
USW00023199,32.8325,-115.6639,PRCP,1945,2025,CA,EL CENTRO NAF,-14
USW00023202,38.2667,-121.9333,PRCP,1947,2025,CA,TRAVIS AFB,18
USW00023225,39.2761,-120.7092,PRCP,1940,2026,CA,BLUE CANYON NYACK AP,1611.2
USW00023230,37.7178,-122.2331,PRCP,1948,2026,CA,OAKLAND INTL AP,1.5
USW00023232,38.5067,-121.4961,PRCP,1941,2026,CA,SACRAMENTO AP ASOS,5.8
USW00023233,36.6636,-121.6092,PRCP,1930,2026,CA,SALINAS AP,22.3
USW00023234,37.6197,-122.3656,PRCP,1945,2026,CA,SAN FRANCISCO INTL AP,3
USW00023237,37.89,-121.2264,PRCP,1948,2026,CA,STOCKTON AP,8.2
USW00023258,37.6256,-120.955,PRCP,1906,2026,CA,MODESTO AP,26.5
USW00023259,36.5903,-121.8489,PRCP,1968,2026,CA,MONTEREY PENINSUL AP,48.8
USW00023271,38.5553,-121.4183,PRCP,1877,2025,CA,SACRAMENTO 5 ESE,11.6
USW00023272,37.7706,-122.4269,PRCP,1921,2026,CA,SAN FRANCISCO DWTN,45.7
USW00023273,34.8942,-120.4522,PRCP,1948,2026,CA,SANTA MARIA PUBLIC AP,74.1
USW00023275,39.1278,-123.2003,PRCP,1949,2026,CA,UKIAH MUNI AP,183.8
USW00024213,40.8097,-124.1603,PRCP,1941,2026,CA,EUREKA WFO WOODLEY IS,6.1
USW00024216,40.1519,-122.2547,PRCP,1892,2026,CA,RED BLUFF MUNI AP,107.9
USW00024259,41.7736,-122.4683,PRCP,1948,2026,CA,MONTAGUE SISKIYOU AP,806.2
USW00024286,41.7836,-124.2381,PRCP,1949,2026,CA,CRESCENT CITY MCNAMARA AP,17.1
USW00093104,35.6864,-117.6908,PRCP,1944,2026,CA,CHINA LAKE NAF,680
USW00093107,32.8667,-117.1333,PRCP,1947,2024,CA,SAN DIEGO MIRAMAR NAS,145.4
USW00093111,34.1242,-119.1228,PRCP,1946,2025,CA,PT MUGU NF,3.7
USW00093112,32.6922,-117.2097,PRCP,1945,2025,CA,N IS NAS,4.3
USW00093115,32.5681,-117.1172,PRCP,1945,2025,CA,IMPERIAL BEACH REAM FLD NAS,7.3
USW00093134,34.0236,-118.2911,PRCP,1906,2026,CA,LOS ANGELES DOWNTOWN/USC,54.6
USW00093193,36.78,-119.7203,PRCP,1948,2026,CA,FRESNO YOSEMITE INTL,101.8
USW00093209,35.6694,-120.6292,PRCP,1948,2026,CA,PASO ROBLES MUNI AP,249.9
USW00093230,38.8983,-119.9961,PRCP,1968,2026,CA,S LAKE TAHOE AP,1907.1
